source_row,row_text,A,B,C
1,Preliminary Info: https://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,,Preliminary Info: https://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,
2,Bone lookup table entry | Size 0x10,Bone lookup table entry,Size 0x10,
3,"0x0 | ""Bone Table 1"" pointer",0x0,"""Bone Table 1"" pointer",
4,"0x4 | ""Bone Table 2"" pointer",0x4,"""Bone Table 2"" pointer",
5,0x8 | Bone Flags | Float,0x8,Bone Flags,Float
6,0xC | Bone Parent ID + 1 ?,0xC,Bone Parent ID + 1 ?,
7,0xD | ???,0xD,???,
8,0xE-0xF | ???,0xE-0xF,???,
10,Bone Table 1 Entry,Bone Table 1 Entry,,
11,0x0 | (Parent Bone?) | Pointer,0x0,(Parent Bone?),Pointer
12,0x4 | Int,0x4,,Int
13,0x8 | (Child Bone?) | Bone Table Entry Pointer,0x8,(Child Bone?),Bone Table Entry Pointer
14,0xC | (Child Bone?) | Bone Table Entry Pointer,0xC,(Child Bone?),Bone Table Entry Pointer
15,0x10 | (Child Bone?) | Bone Table Entry Pointer,0x10,(Child Bone?),Bone Table Entry Pointer
16,0x14 | ??? | Flags?,0x14,???,Flags?
17,0x18 | ???,0x18,???,
18,"0x1C | ""ZXY 1"" | Float[3]",0x1C,"""ZXY 1""",Float[3]
19,0x28 | Float? / 0x1C + 0x28 are sometimes set to the quaternion representation of the rotation (see 8000c630),0x28,,Float? / 0x1C + 0x28 are sometimes set to the quaternion representation of the rotation (see 8000c630)
20,0x2C | ZXY Bone Scale | Float[3],0x2C,ZXY Bone Scale,Float[3]
21,"0x38 | ""ZXY 3"" | Float[3]",0x38,"""ZXY 3""",Float[3]
22,"0x44 | ""ZXY 4""' | Float[3]",0x44,"""ZXY 4""'",Float[3]
23,"0x50 | ""ZXY 5"" | Float[3]",0x50,"""ZXY 5""",Float[3]
24,"0x5C | ""ZXY 6"" | Float[3]",0x5C,"""ZXY 6""",Float[3]
25,"0x68 | ""ZXY 7"" | Float[3]",0x68,"""ZXY 7""",Float[3]
26,0x74,0x74,,
27,0x78,0x78,,
28,0x7C,0x7C,,
29,0x80,0x80,,
30,0x84 | Animation Reference Table Entry? | Pointer. Pointer to table entry of permanant dimensions/coordinates. This pointer can change between different animations (verify?).,0x84,Animation Reference Table Entry?,Pointer. Pointer to table entry of permanant dimensions/coordinates. This pointer can change between different animations (verify?).
33,Bone Table 2 Entry,Bone Table 2 Entry,,
35,Animation Reference Table Entry? | Pointer. Pointer to table entry of permanant dimensions/coordinates. This pointer can change between different animations (verify?).,,Animation Reference Table Entry?,Pointer. Pointer to table entry of permanant dimensions/coordinates. This pointer can change between different animations (verify?).
38,Animation Reference Table Entry,Animation Reference Table Entry,,
